base64,description,x,y
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADBJREFUCNdjEAwNdWEAEq4MgiGiDgwCIaKhEEIQTISGgogAVhgRCpVAUecANQBoFAAnSw3fTQhRewAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a section of a brick wall"",
    ""a ruined castle fragment"",
    ""a bloodstained floor tile"",
    ""a stone altar"",
    ""a crafting station UI icon""
  ]
}",10,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADBJREFUCNdjEAwNdWEIDA11ZWAMEXVgCA0RDUUmgIAhgDWAFUKAuWhKwNrABoCMAgCKzhBBPAOfQgAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a worn rug pattern"",
    ""a stone floor tile"",
    ""a simple cross symbol"",
    ""a blood stain"",
    ""a damaged wooden plank""
  ]
}",11,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACxJREFUCNdjYMAFWENDAxhEGIBIIDSUhUEwNNQFSoSIujAIhIiyQAgwFy4LANrzCFjTMyK8AAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a wooden door"",
    ""a treasure chest"",
    ""a stone tablet"",
    ""a building facade"",
    ""a UI panel""
  ]
}",12,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAA9JREFUCNdjYIACFqoQDAAIvAA5ehNzMwAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a dark stone pillar"",
    ""a section of a castle wall"",
    ""a magical energy barrier"",
    ""a shadow or void"",
    ""a health bar segment""
  ]
}",13,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAB9JREFUCNdjYGBgYGHAIBhDQASIxygCZ6FxQxiw6AUAJaQA+Wcj7CIAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a corner of a castle wall"",
    ""a section of dungeon corridor"",
    ""a stylized blood splatter"",
    ""a broken stone archway"",
    ""a UI element for a menu""
  ]
}",14,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAABRJREFUCNdjYIACFooI0dDQELAxABBUAUh0grlRAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a corner of a room"",
    ""a section of wall"",
    ""a dark reddish-brown stain"",
    ""a simple UI border"",
    ""a rough stone block""
  ]
}",15,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAC5JREFUCNdjYAABkVBXESjBwArkBoJYIIKB0QHMDYEQDAEgxYGhIlACyEHSCwIAYYUI75bLVbcAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a section of brick wall"",
    ""a tiled floor pattern"",
    ""a bloodstained stone slab"",
    ""a ruined temple fragment"",
    ""a complex puzzle piece""
  ]
}",16,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPHpESv///8f9ccoAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACpJREFUCNdjYAABVleHEAZBV0ERBhGXQBcGUcbAALA4hAUWA8uC1eHVAQBjdgj4tjmWbAAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a cracked stone floor"",
    ""a patch of dried blood"",
    ""a rough brick pattern"",
    ""a small, dark pit"",
    ""a texture for a dungeon wall""
  ]
}",17,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURc/GuEctPP///9oB2kQAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADdJREFUCNdjYAADBwcHBtbQ0FAGUUZGQQZWRkZXCJclECgh4gKTZWUEESCWCCtIlhXGBUuIAlkAmqwL4MU3K50AAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a castle corner"",
    ""a ruined tower section"",
    ""a dark altar"",
    ""a building foundation"",
    ""a stone block UI element""
  ]
}",18,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURc/GuEctPP///9oB2kQAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACpJREFUCNdjYAABByBgCAUCBkZGRkEQ4QrhOgQCJRxcYLIhrEACzMJFAAAkyBBpAJlYvAAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a small stone altar"",
    ""a ruined building section"",
    ""a dark cave opening"",
    ""a treasure chest"",
    ""a UI element for a shop""
  ]
}",19,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURc/GuEctPP///9oB2kQAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADlJREFUCNdjYAABByBgCA0NDWBgdGUUYWAUZAyAcIHiQCLUIQTCDQ0VFAASrmBZkJhDAEwiRAAsBgAywxAsLUo8ewAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a ruined castle corner"",
    ""a dark stone wall section"",
    ""a section of dungeon floor"",
    ""a rocky outcrop"",
    ""a building foundation""
  ]
}",20,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPL95WP///yV5He4AAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAABdJREFUCNdjYCAMWBkYAqCEaAiMwCEGAF/qBKLKxKSLAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a small wooden gate"",
    ""a stable door"",
    ""a section of palisade wall"",
    ""a double barred window"",
    ""a crafting station icon""
  ]
}",21,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACNJREFUCNdjYCAMGB0YHSAESwBLABIhECIQAiFCgYDBAagUAH+RBiKSiIW0AAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a small stone bridge"",
    ""a ruined wall section"",
    ""a pair of tombstones"",
    ""a low barricade"",
    ""a rocky outcrop""
  ]
}",22,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURc/GuEctPP///9oB2kQAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADNJREFUCNdjYAAB0dDQEAYBBgYWBsHQUBcGQRERIBHACiNCRGEEWBbMAisBccHawAaAAACC8wnUQe3tnQAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a magical rune"",
    ""a stone altar"",
    ""a decorated floor tile"",
    ""a health pack icon"",
    ""a small shrine""
  ]
}",23,0
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAD9JREFUCNdjYAAD0RAgERoKJBwYgYRrIJBwdISyGF0EHRhYA1gDGFhDRIGEiAiQEGAJYGAQEQHKiog4QFggAAAacwagKzU46QAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a stone golem"",
    ""a suit of armor"",
    ""a castle gate"",
    ""a magical construct"",
    ""a defensive statue""
  ]
}",24,0
